document_id,ticker,company_name,report_year,dimension_code,raw_score,evidence_locator,evidence_exists,evidence_text_short,evidence_semantic_status,evidence_issue_type,score_evidence_alignment,needs_review,recommended_action
MDA_5533_OCB_2023,OCB,OCB Berhad,2023,AR02,3,[MDA_P001],true,MANAGEMENT DISCUSSION AND ANALYSIS The Board of Directors of OCB Berhad (“OCB” or “the Company”) and the Management are pleased to present material non-financial information on OCB and its group of companies (“OCB Group” or “the Group”) to complement the detailed information in t,invalid,non_mda_noise,misaligned,true,check_text_cleaning
MDA_5533_OCB_2023,OCB,OCB Berhad,2023,AR05,4,[MDA_P001],true,MANAGEMENT DISCUSSION AND ANALYSIS The Board of Directors of OCB Berhad (“OCB” or “the Company”) and the Management are pleased to present material non-financial information on OCB and its group of companies (“OCB Group” or “the Group”) to complement the detailed information in t,invalid,non_mda_noise,misaligned,true,check_text_cleaning
MDA_5533_OCB_2024,OCB,OCB Berhad,2024,AR02,3,[MDA_P001],true,MANAGEMENT DISCUSSION AND ANALYSIS,invalid,missing_financial_content,misaligned,true,rerun_dimension_only
MDA_6203_KHEESAN_2024,KHEESAN,Khee San Berhad,2024,AR02,3,[MDA_P001],true,MANAGEMENT DISCUSSION AND ANALYSIS ANNUAL REPORT 2024,invalid,missing_financial_content,misaligned,true,rerun_dimension_only
MDA_7035_CCK_2022,CCK,CCK,2022,AR03,5,[MDA_P001],true,MANAGEMENT DISCUSSION & ANALYSIS Revenue RM885.7 million Profit After Tax RM63.1 million Profit Before Tax RM81.4 million Total Assets RM505.3 million Total Liabilities RM143.1 million Earnings Per Share 10.12 sen Current Ratio 2.3 times,weak,missing_causal_explanation,partial,true,manual_review
MDA_7035_CCK_2023,CCK,CCK,2023,AR03,2,[MDA_P001],true,MANAGEMENT DISCUSSION & ANALYSIS Profit Before Tax RM107.44 million Total Liabilities RM144.69 million Revenue RM980.75 million Total Assets RM576.25 million Profit After Tax RM83.36 million Current Ratio 2.68 times Earnings Per Share 13.35 sen,weak,missing_causal_explanation,partial,true,manual_review
MDA_7035_CCK_2024,CCK,CCK,2024,AR03,2,[MDA_P001],true,"MANAGEMENT DISCUSSION AND ANALYSIS Profit Before Tax RM 112.03 million Current Ratio 3.91 times Earnings Per Share 11.51 sen Revenue RM 1,057.65 million Profit After Tax RM 71.58 million Total Assets RM 767.96 million Total Liabilities RM 155.11 million",weak,missing_causal_explanation,partial,true,manual_review
MDA_7103_SPRITZER_2020,SPRITZER,SPRITZER,2020,AR02,3,[MDA_P002],true,"For Financial Year Ended December 31, 2020",invalid,missing_financial_content,misaligned,true,rerun_dimension_only
MDA_7103_SPRITZER_2022,SPRITZER,SPRITZER,2022,AR02,3,[MDA_P001],true,"Management Discussion and Analysis For Financial Year Ended December 31, 2022",invalid,missing_financial_content,misaligned,true,rerun_dimension_only
MDA_7103_SPRITZER_2024,SPRITZER,SPRITZER,2024,AR04,5,[MDA_P001],true,"Management Discussion and Analysis BUSINESS AND OPERATIONS OVERVIEW The Malaysian economy grew by 5.0% in the fourth quarter of 2024. This performance was supported by strong expansion in investment activities, growth in export of goods and services and sustained household spendi",weak,missing_risk_or_outlook,partial,true,manual_review
MDA_7167_ABLEGLOB_2020,ABLEGLOB,JOHOTIN,2020,AR03,2,[MDA_P007],true,"For the FYE 2020, the Group achieved revenue of RM502.26 million as compared to RM579.79 million in the previous financial year, a decreased of RM77.53 million. Profit before tax decreased by RM7.30 million to RM53.22 million as compared to RM60.52 million in the previous financi",weak,missing_causal_explanation,partial,true,manual_review
MDA_7167_ABLEGLOB_2021,ABLEGLOB,JOHOTIN,2021,AR03,2,[MDA_P007],true,"For FYE 2021, the Group achieved revenue of RM499.86 million as compared to RM502.26 million in the previous financial year, a decreased of RM2.4 million. Profit before tax decreased by RM1.79 million to RM51.43 million as compared to RM53.22 million in the previous financial yea",weak,missing_causal_explanation,partial,true,manual_review
MDA_7167_ABLEGLOB_2022,ABLEGLOB,JOHOTIN,2022,AR03,2,[MDA_P006],true,"For FYE 2022, the Group achieved revenue of RM549.82 million as compared to RM499.86 million in the previous financial year, an increase of RM49.96 million. Profit before tax decreased by RM8.63 million to RM42.80 million as compared to RM51.43 million in the previous financial y",weak,missing_causal_explanation,partial,true,manual_review
MDA_7167_ABLEGLOB_2023,ABLEGLOB,JOHOTIN,2023,AR03,2,[MDA_P007],true,"For FYE 2023, the Group achieved revenue of RM648.09 million as compared to RM549.82 million in the previous financial year, an increase of RM98.27 million. Profit before tax increased by RM26.39 million to RM69.19 million as compared to RM42.80 million in the previous financial ",weak,missing_causal_explanation,partial,true,manual_review
MDA_7237_PWROOT_2020,PWROOT,Power Root,2020,AR02,3,[MDA_P001],true,MANAGEMENT DISCUSSION AND ANALYSIS,invalid,missing_financial_content,misaligned,true,rerun_dimension_only
MDA_7237_PWROOT_2022,PWROOT,Power Root,2022,AR02,3,[MDA_P001],true,MANAGEMENT DISCUSSION AND ANALYSIS Power Root Berhad Registration Number: 200601013517 (733268-U),invalid,missing_financial_content,misaligned,true,rerun_dimension_only
MDA_7237_PWROOT_2023,PWROOT,Power Root,2023,AR02,3,[MDA_P001],true,MANAGEMENT DISCUSSION AND ANALYSIS cont’d,invalid,missing_financial_content,misaligned,true,rerun_dimension_only
MDA_7243_MAGMA_2020,MAGMA,Impiana Hotels Bhd,2020,AR03,2,[MDA_P002],true,The Company had changed its financial year end from 31 December to 30 June during the current financial period ended 30 June 2020 (“FPE 2020”). The change in the current financial period was made to facilitate more time for our External Auditors to assess the Purchase Price Alloc,weak,missing_causal_explanation,partial,true,manual_review
MDA_7243_MAGMA_2021,MAGMA,Impiana Hotels Bhd,2021,AR03,2,[MDA_P003],true,"The summary of the Statement of Comprehensive Income is as follows: (RM ‘000) FYE 2021 FPE 2020 (18 Months) Variance FYE 2021 vs. FPE 2020 Revenue 19,499 33,818 (42%) Gross Profit (“GP”) 6,193 17,256 (64%) Gross Profit Margin (“GPM”) 31.8 51.0% Administrative Expenses (6,723) (18",weak,missing_causal_explanation,partial,true,manual_review
MDA_7243_MAGMA_2022,MAGMA,Impiana Hotels Bhd,2022,AR03,2,[MDA_P003],true,"The summary of the Statement of Comprehensive Income is as follows: (RM ‘000) FPE 2022 (18 Months) FYE 2021 Variance FPE 2022 vs. FYE 2021 Revenue 26,725 19,499 37.1% Gross Profit (“GP”) 15,153 6,193 >100.0% Gross Profit Margin (“GPM”) 56.7% 31.8% Administrative Expenses (13,051)",weak,missing_causal_explanation,partial,true,manual_review
MDA_8478_HWATAI_2020,HWATAI,Hwa Tai,2020,AR02,3,[MDA_P001],true,STATEMENT OF MANAGEMENT DISCUSSION & ANALYSIS (Continued),invalid,missing_financial_content,misaligned,true,rerun_dimension_only
MDA_9946_ETA_2020,ETA,Annual Report 2020,2020,AR03,2,[MDA_P003],true,"FY 2019 FY 2020 (All in RM’000) Revenue 136,608 149,245 Loss before tax (14,317) (8,396) The Board is committed to continue with prudent measures to improve the Group’s financial performance and deliver satisfactory results taking cognizance of the prevailing business environment",weak,missing_causal_explanation,partial,true,manual_review
MDA_9946_ETA_2021,ETA,Annual Report 2020,2021,AR03,2,[MDA_P005],true,Operating Ratio After tax return on shareholders’ fund (%) 2.28 (11.99) (11.70) (9.29) 2.04 Pre-tax profit/(loss) margin (%) 1.74 (11.58) (10.48) (5.63) 2.44,weak,missing_causal_explanation,partial,true,manual_review
MDA_9946_ETA_2023,ETA,Annual Report 2020,2023,AR03,2,[MDA_P008],true,"RM'000 RM'000 RM'000 RM'000 RM'000 Statement of Profit and Loss Revenue 136,609 149,245 160,539 161,111 162,408 Interest expense 1,905 2,050 1,531 1,171 1,617",weak,missing_causal_explanation,partial,true,manual_review
