document_id,ticker,company_name,report_year,dimension_code,stability_case_type,failure_reason,source_file,raw_output_path,parsed_output_path,evidence_locator,evidence_exists,score_current,score_comparison,score_diff,needs_rescore,recommended_action,action_status,action_detail,repair_raw_output_path,repair_parsed_output_path,created_at
MDA_3026_DLADY_2023,DLADY,DL,2023,ALL,stability_batch,json_parse_failure,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/06_ratings/mda_v2_stability_batch/per_document/MDA_3026_DLADY_2023_parsed.json,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/_self_correction/mda_v2_stability_batch_tmp/05_raw_model_outputs/mda/MDA_3026_DLADY_2023_attempt_3.json,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/_self_correction/mda_v2_stability_batch_tmp/06_ratings/per_document/mda/MDA_3026_DLADY_2023_parsed.json,,,,,,false,repair_json_only,manual_required,"parser recovered JSON, but the payload is not a strict single-dimension object.",/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/05_raw_model_outputs/mda_stability_repair/MDA_3026_DLADY_2023_ALL_raw.txt,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/06_ratings/mda_stability_repair/per_document/MDA_3026_DLADY_2023_parsed.json,2026-06-19T06:40:23+00:00
MDA_3026_DLADY_2023,DLADY,DL,2023,ALL,stability_batch,schema_validation_failure,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/06_ratings/mda_v2_stability_batch/per_document/MDA_3026_DLADY_2023_parsed.json,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/_self_correction/mda_v2_stability_batch_tmp/05_raw_model_outputs/mda/MDA_3026_DLADY_2023_attempt_3.json,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/_self_correction/mda_v2_stability_batch_tmp/06_ratings/per_document/mda/MDA_3026_DLADY_2023_parsed.json,,,,,,false,repair_json_only,manual_required,"parser recovered JSON, but the payload is not a strict single-dimension object.",/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/05_raw_model_outputs/mda_stability_repair/MDA_3026_DLADY_2023_ALL_raw.txt,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/06_ratings/mda_stability_repair/per_document/MDA_3026_DLADY_2023_parsed.json,2026-06-19T06:40:23+00:00
MDA_3026_DLADY_2023,DLADY,DL,2023,AR01,stability_batch,missing_dimension,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/06_ratings/mda_v2_stability_batch/mda_v2_stability_ratings_long.csv,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/_self_correction/mda_v2_stability_batch_tmp/05_raw_model_outputs/mda/MDA_3026_DLADY_2023_attempt_3.json,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/_self_correction/mda_v2_stability_batch_tmp/06_ratings/per_document/mda/MDA_3026_DLADY_2023_parsed.json,,,,,,true,rerun_failed_dimension_only,blocked_ollama_unavailable,qwen3:8b rerun was not attempted because Ollama/model is unavailable. HTTP 502:,,,2026-06-19T06:40:26+00:00
MDA_3026_DLADY_2023,DLADY,DL,2023,AR02,stability_batch,missing_dimension,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/06_ratings/mda_v2_stability_batch/mda_v2_stability_ratings_long.csv,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/_self_correction/mda_v2_stability_batch_tmp/05_raw_model_outputs/mda/MDA_3026_DLADY_2023_attempt_3.json,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/_self_correction/mda_v2_stability_batch_tmp/06_ratings/per_document/mda/MDA_3026_DLADY_2023_parsed.json,,,,,,true,rerun_failed_dimension_only,blocked_ollama_unavailable,qwen3:8b rerun was not attempted because Ollama/model is unavailable. HTTP 502:,,,2026-06-19T06:40:26+00:00
MDA_3026_DLADY_2023,DLADY,DL,2023,AR03,stability_batch,missing_dimension,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/06_ratings/mda_v2_stability_batch/mda_v2_stability_ratings_long.csv,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/_self_correction/mda_v2_stability_batch_tmp/05_raw_model_outputs/mda/MDA_3026_DLADY_2023_attempt_3.json,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/_self_correction/mda_v2_stability_batch_tmp/06_ratings/per_document/mda/MDA_3026_DLADY_2023_parsed.json,,,,,,true,rerun_failed_dimension_only,blocked_ollama_unavailable,qwen3:8b rerun was not attempted because Ollama/model is unavailable. HTTP 502:,,,2026-06-19T06:40:26+00:00
MDA_3026_DLADY_2023,DLADY,DL,2023,AR04,stability_batch,missing_dimension,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/06_ratings/mda_v2_stability_batch/mda_v2_stability_ratings_long.csv,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/_self_correction/mda_v2_stability_batch_tmp/05_raw_model_outputs/mda/MDA_3026_DLADY_2023_attempt_3.json,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/_self_correction/mda_v2_stability_batch_tmp/06_ratings/per_document/mda/MDA_3026_DLADY_2023_parsed.json,,,,,,true,rerun_failed_dimension_only,blocked_ollama_unavailable,qwen3:8b rerun was not attempted because Ollama/model is unavailable. HTTP 502:,,,2026-06-19T06:40:26+00:00
MDA_3026_DLADY_2023,DLADY,DL,2023,AR05,stability_batch,missing_dimension,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/06_ratings/mda_v2_stability_batch/mda_v2_stability_ratings_long.csv,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/_self_correction/mda_v2_stability_batch_tmp/05_raw_model_outputs/mda/MDA_3026_DLADY_2023_attempt_3.json,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/_self_correction/mda_v2_stability_batch_tmp/06_ratings/per_document/mda/MDA_3026_DLADY_2023_parsed.json,,,,,,true,rerun_failed_dimension_only,blocked_ollama_unavailable,qwen3:8b rerun was not attempted because Ollama/model is unavailable. HTTP 502:,,,2026-06-19T06:40:26+00:00
MDA_5008_HARISON_2024,HARISON,Harrisons Holdings (Malaysia) Berhad - 2020,2024,AR02,stability_batch,low_confidence,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/06_ratings/mda_v2_stability_batch/mda_v2_stability_ratings_long.csv,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/_self_correction/mda_v2_stability_batch_tmp/05_raw_model_outputs/mda/MDA_5008_HARISON_2024_attempt_1.json,,[MDA_P030],true,2,,,false,manual_review,manual_required,Manual review required; no score was generated.,,,2026-06-19T06:40:26+00:00
MDA_5008_HARISON_2024,HARISON,Harrisons Holdings (Malaysia) Berhad - 2020,2024,AR02,numeric_checker,AR02_numeric_discrepancy,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/03_numeric_checks/mda_v2_numeric_checks_summary.csv,,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/06_ratings/mda_v2_stability_batch/per_document/MDA_5008_HARISON_2024_parsed.json,[MDA_P030],true,2,,,false,fix_numeric_checker,manual_required,AR02 numeric discrepancy is marked for numeric-checker review only; no LLM math or score change was performed.,,,2026-06-19T06:40:26+00:00
MDA_3662_MFLOUR_2020,MFLOUR,MFM,2020,AR02,stability_batch,low_confidence,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/06_ratings/mda_v2_stability_batch/mda_v2_stability_ratings_long.csv,/Users/zhaojiahao/Documents/马来西亚F&B/06_scoring/_self_correction/mda_v2_stability_batch_tmp/05_raw_model_outputs/mda/MDA_3662_MFLOUR_2020_attempt_1.json,,[MDA_P002],true,2,,,false,manual_review,manual_required,Manual review required; no score was generated.,,,2026-06-19T06:40:26+00:00
