document_id,ticker,company_name,report_year,dimension_code,raw_score,evidence_locator,evidence_exists,evidence_text_short,evidence_semantic_status,evidence_issue_type,score_evidence_alignment,needs_review,recommended_action,repair_status,repair_reason,numeric_issue_status
MDA_2658_AJI_2021,AJI,Ajinomoto,2021,AR02,3,[MDA_P032],true,"[MDA_P032] store in low temperature. MS1500:2009 1092-02/2004 PROD DATE EXP DATE LOT NO. : : : Manufactured by: AJINOMOTO (MALAYSIA) BERHAD (4295-W) Lot 5710, Jalan Kuchai Lama, Petaling, 58200 Kuala Lumpur, Malaysia. Tel: +603-7980 6958 Fa",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_2658_AJI_2022,AJI,Ajinomoto,2022,AR02,3,[MDA_P032],true,"[MDA_P032] store in low temperature. MS1500:2009 1092-02/2004 PROD DATE EXP DATE LOT NO. : : : Manufactured by: AJINOMOTO (MALAYSIA) BERHAD (4295-W) Lot 5710, Jalan Kuchai Lama, Petaling, 58200 Kuala Lumpur, Malaysia. Tel: +603-7980 6958 Fa",weak,missing_financial_content,partial,true,manual_required,manual_required,repair_output_still_invalid,not_enough_numbers
MDA_2658_AJI_2023,AJI,Ajinomoto,2023,AR02,3,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Inauguration of Effluent Treatment Management (SALAM) Corporate name was changed to Ajinomoto (Malaysia) Sdn Bhd Company name was changed to Ajinomoto (Malaysia) Berhad as the public company Comme,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_2658_AJI_2024,AJI,Ajinomoto,2024,AR02,3,[MDA_P037],true,[MDA_P037] AJINOMOTO (MALAYSIA) BERHAD 196101000252 (4295-W) Annual Report 2024 Management Discussion & Analysis (cont’d.) RM1092.8MIL TOTAL ASSETS RM636.4MIL REVENUE 660.25SEN EARNINGS PER SHARE 43.44% RETURN ON EQUITY 38.40SEN 212.00SEN O,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_2828_CIHLDG_2020,CIHLDG,CIHB,2020,AR02,4,[MDA_P001],true,"[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS OVERVIEW OF GROUP’S BUSINESS AND OPERATIONS Company Profile The Group is divided into two main divisions, namely the Edible Oil Products Division and the Tap and Sanitary Ware Division. The form",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_2828_CIHLDG_2021,CIHLDG,CIHB,2021,AR02,4,[MDA_P001],true,[MDA_P001] Management Discussion And Analysis ANNUAL REPORT 2021 C.I. HOLDINGS BERHAD 197801000889 (37918-A),weak,missing_financial_content,partial,true,manual_required,manual_required,repair_output_still_invalid,no_numeric_issue
MDA_2828_CIHLDG_2022,CIHLDG,CIHB,2022,AR02,4,[MDA_P001],true,"[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS Overview Of Group’s Business And Operations Company Profile The Group is divided into two main divisions, being the Edible Oil Products Division and the Tap and Sanitary Ware Division. The Edibl",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_2828_CIHLDG_2023,CIHLDG,CIHB,2023,AR02,4,[MDA_P002],true,[MDA_P002] ANNUAL REPORT 2023 C.I.,weak,missing_financial_content,partial,true,manual_required,manual_required,repair_output_still_invalid,no_numeric_issue
MDA_2828_CIHLDG_2024,CIHLDG,CIHB,2024,AR02,2,[MDA_P006],true,[MDA_P006] The overall average for the year stood at RM4.70/USD. This is a 4.47% increase as against the previous financial year average of MYR 4.495 to 1 USD. The Group has successfully navigated global challenges by expanding its product,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_2836_CARLSBG_2020,CARLSBG,Carlsberg Brewery Malaysia Berhad,2020,AR02,3,[MDA_P002],true,"[MDA_P002] We essentially suspended production and distribution in compliance with unprecedented restrictions, which led to business disruption. From the beginning, we began engaging with our stakeholders in earnest, communicating our effor",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_2836_CARLSBG_2021,CARLSBG,Carlsberg Brewery Malaysia Berhad,2021,AR02,3,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS CORPORATE STRATEGY: SAIL’22 OUR TWO ENABLERS OUR SEVEN STRATEGIC PRIORITIES OUR THREE STRATEGIC LEVERS DEFEND OUR LICENCE TO OPERATE CREATE A WINNING CULTURE STRENGTHEN THE CORE POSITION FOR GROWT,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_2836_CARLSBG_2022,CARLSBG,Carlsberg Brewery Malaysia Berhad,2022,AR02,3,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS CORPORATE STRATEGY: SAIL’22 OUR TWO ENABLERS OUR SEVEN STRATEGIC PRIORITIES OUR THREE STRATEGIC LEVERS CREATE A WINNING CULTURE STRENGTHEN THE CORE ‘Grow in Mainstream’ with Carlsberg Danish Pil,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_2836_CARLSBG_2023,CARLSBG,Carlsberg Brewery Malaysia Berhad,2023,AR02,3,[MDA_P002],true,"[MDA_P002] financial targets, and a commitment to sustainability, responsibility and creating long-term value. Sharpening Our Focus for Future Growth SAIL'27 encapsulates four key strategic levers, each designed to prepare the Group to be m",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_2836_CARLSBG_2024,CARLSBG,Carlsberg Brewery Malaysia Berhad,2024,AR02,3,[MDA_P001],true,"[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS Through Portfolio Choices, we are sharpening our focus on premiumisation, innovation and strengthening core beer offerings. Investments in premium brands, Alcohol-Free Brews and Beyond Beer cate",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_3026_DLADY_2020,DLADY,DL,2020,AR02,3,[MDA_P001],true,"[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Number 1 position in Liquid Milk. In line with DLMI’s purpose to Nourish our Nation from Grass to Glass, the business successfully overcame multiple challenges throughout 2020. 66 SKUs which make",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_3026_DLADY_2021,DLADY,DL,2021,AR02,3,[MDA_P006],true,[MDA_P006] Environmental Sustainability DLMI is constantly working to reduce our environmental footprint. Efforts to care for our environment are practiced every day across our business for example through purchasing 100% green electricity.,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_3026_DLADY_2022,DLADY,DL,2022,AR02,2,[MDA_P032],true,"[MDA_P032] After reconciliation, DLMI paid to its shareholders a total of RM32 million in interim dividends consisting of two standards dividends of RM0.25 each. This represents a distribution of 69% of the profits attributable to sharehold",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_3026_DLADY_2023,DLADY,DL,2023,AR02,3,[MDA_P004],true,"[MDA_P004] Meanwhile, sustainability KPIs are part of Managing Director and Management Team’s annual targets. Our three-year journey towards transition and adoption of Integrated Reporting principles, which commenced from the reporting cycl",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_3026_DLADY_2024,DLADY,DL,2024,AR01,4,[MDA_P001],true,"[MDA_P001] A HISTORIC MILESTONE & MASSIVE TRANSITION TOWARDS RESPONSIBLE GROWTH 2024 was history in the making for Dutch Lady Milk Industries Berhad. One notable milestone was bidding farewell to our iconic DLMI@PJ manufacturing facility, e",weak,too_generic,partial,true,manual_review,,,
MDA_3026_DLADY_2024,DLADY,DL,2024,AR02,3,[MDA_P002],true,"[MDA_P002] This transition, a well- orchestrated plan over the past five years, culminated in 2024 with the critical milestone of moving to our Halal IR4.0- enabled production centre. This move will accelerate our strategy to scale operatio",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_3255_HEIM_2020,HEIM,Heineken,2020,AR02,3,[MDA_P002],true,[MDA_P002] ANNUAL REPORT 2020 | HEINEKEN MALAYSIA BERHAD Management Discussion & Analysis 2020 was a difficult year. The Covid-19 global pandemic brought the economy to a standstill. Faced with the immediate need to bring the contagion unde,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_3255_HEIM_2020,HEIM,Heineken,2020,AR03,2,[MDA_P003],true,"[MDA_P003] We are the leading brewer in the country, with a portfolio of iconic international and local brands that are supported by consumers who share the same Passion for Quality that is a key HEINEKEN value. In 2020, we had to respond t",weak,missing_causal_explanation,partial,true,manual_review,,,
MDA_3255_HEIM_2021,HEIM,Heineken,2021,AR02,3,[MDA_P001],true,"[MDA_P001] Management Discussion & Analysis Navigating through the storm We kept an all hands on deck approach by keeping the team connected and motivated through regular communications and updates, despite the many uncertainties in the ext",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_3255_HEIM_2022,HEIM,Heineken,2022,AR02,3,[MDA_P004],true,"[MDA_P004] The following is a review of our business and financial performance, the highlights of our commercial campaigns, the progress of our sustainability commitments, as well as the outlook for 2023. OUR PERFORMANCE Compared to 2021, G",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_3255_HEIM_2023,HEIM,Heineken,2023,AR02,3,[MDA_P004],true,"[MDA_P004] The following is a review of our business and financial performance, the highlights of our commercial campaigns, the progress of our sustainability goals, as well as the outlook for 2024. OUR PERFORMANCE Compared with our 2022 pe",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_3255_HEIM_2024,HEIM,Heineken,2024,AR02,3,[MDA_P001],true,"[MDA_P001] Management Discussion & Analysis HEINEKEN Malaysia delivered strong financial results in 2024, showing significant progress from the previous year, fueled by strategic marketing efforts and the successful launch of innovation pro",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_3662_MFLOUR_2020,MFLOUR,MFM,2020,AR02,3,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS,weak,missing_financial_content,partial,true,manual_required,manual_required,repair_output_still_invalid,no_numeric_issue
MDA_3662_MFLOUR_2021,MFLOUR,MFM,2021,AR02,3,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS,weak,missing_financial_content,partial,true,manual_required,manual_required,repair_output_still_invalid,no_numeric_issue
MDA_3662_MFLOUR_2022,MFLOUR,MFM,2022,AR02,3,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_3662_MFLOUR_2023,MFLOUR,MFM,2023,AR02,3,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS,weak,missing_financial_content,partial,true,manual_required,manual_required,repair_output_still_invalid,not_enough_numbers
MDA_3662_MFLOUR_2024,MFLOUR,MFM,2024,AR02,3,[MDA_P001],true,[MDA_P001] Management Discussion and Analysis,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_3689_FN_2020,FN,FNHB,2020,AR02,4,[MDA_P001],true,"[MDA_P001] BUSINESS REVIEW: Food and Beverages Malaysia Managing Director, Domestic Commercial Operations (Peninsular Malaysia) Bryan Lee Chee Kong Director, Domestic Commercial Operations (East Malaysia & Brunei) Bart Lim Siang Chin",weak,missing_financial_content,partial,true,manual_required,manual_required,repair_output_still_invalid,no_numeric_issue
MDA_3689_FN_2021,FN,FNHB,2021,AR02,3,[MDA_P002],true,"[MDA_P002] Market Review FY2021 has been signiﬁcantly more challenging than FY2020 for our Malaysian, Thai and Export operations for three main reasons: Covid-19, the increase in price of commodities, as well as that of freight charges. In",weak,missing_financial_content,partial,true,manual_required,manual_required,repair_output_still_invalid,no_numeric_issue
MDA_3689_FN_2022,FN,FNHB,2022,AR02,2,[MDA_P001],true,"[MDA_P001] Management Discussion & Analysis Strategic Review Market Review OUR OPERATING LANDSCAPE The year 2022 has been marked by two key and opposing factors. Positively, it has seen the gradual unravelling of movement and social restric",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_3689_FN_2023,FN,FNHB,2023,AR02,3,[MDA_P001],true,"[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Annual Report 2023 MARKET REVIEW A. Strategic Review In May 2023, the World Health Organization (WHO) declared that COVID-19 “no longer constitutes a public health emergency of international conce",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_4065_PPB_2020,PPB,PPB,2020,AR02,3,[MDA_P001],true,"[MDA_P001] Financial Review 4,190,690 1,420,933 4,683,776 1,271,628 The Group achieved total revenue of RM4.19 billion, 11% lower than FY2019. This was mainly attributable to lower revenue from the Film exhibition and distribution segment.",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_4065_PPB_2021,PPB,PPB,2021,AR02,2,[MDA_P004],true,"[MDA_P004] GRAINS AND AGRIBUSINESS SEGMENT The Grains and Agribusiness segment is the largest contributor to Group revenue. This segment comprises Flour Milling, Feed Milling, Corn Trading and Livestock Farming, contributing 78% of the Grou",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_4065_PPB_2022,PPB,PPB,2022,AR02,3,[MDA_P001],true,"[MDA_P001] PPB Group Berhad | Annual Report 2022 PPB Group Berhad | Annual Report 2022 MESSAGES FROM OUR LEADERS Managing director’s review Dear Shareholders, In 2022, Malaysia’s economy strengthened with the reopening of international bord",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_4065_PPB_2023,PPB,PPB,2023,AR02,3,[MDA_P001],true,[MDA_P001] Managing director’s review Managing director’s review NAVIGATING THE YEAR AND BEYOND PPB Group Berhad remained resilient and committed to sustainable growth to navigate the challenging year. As a conglomerate engaged in diverse b,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_4065_PPB_2024,PPB,PPB,2024,AR02,3,[MDA_P016],true,"[MDA_P016] Revenue 5,386 5,721 (5.9) Profit before taxation 1,333 1,488 (10.4) Profit after taxation 1,242 1,421 (12.6) Profit attributable to owners of the parent 1,219 1,394 (12.6)",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_4065_PPB_2024,PPB,PPB,2024,AR03,2,[MDA_P016],true,"[MDA_P016] Revenue 5,386 5,721 (5.9) Profit before taxation 1,333 1,488 (10.4) Profit after taxation 1,242 1,421 (12.6) Profit attributable to owners of the parent 1,219 1,394 (12.6)",weak,missing_causal_explanation,partial,true,manual_review,,,
MDA_4707_NESTLE_2020,NESTLE,Nestle Malaysia Berhad,2020,AR02,3,[MDA_P001],true,"[MDA_P001] Management Discussion & Analysis FINANCIAL REVIEW At the very onset of the pandemic, we quickly realigned our priorities significantly to ramp up safety, health and preventive measures for our people and to preserve operational c",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_4707_NESTLE_2021,NESTLE,Nestle Malaysia Berhad,2021,AR02,3,[MDA_P001],true,"[MDA_P001] Management Discussion and Analysis “By staying focused on what mattered, Nestlé Malaysia has been able to manage the ongoing challenges of the pandemic in 2021, accelerating growth and improving year-on-year profitability, while",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_4707_NESTLE_2022,NESTLE,Nestle Malaysia Berhad,2022,AR02,3,[MDA_P001],true,"[MDA_P001] Management Discussion and Analysis FINANCIAL REVIEW The year shaped up to be one of solid recovery post-COVID lockdowns, amidst global volatile conditions and commodities inflation. We sharpened our focus to keep upholding the tr",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_4707_NESTLE_2023,NESTLE,Nestle Malaysia Berhad,2023,AR02,3,[MDA_P001],true,"[MDA_P001] Management Discussion and Analysis “In the face of global headwinds and uncertainties, Nestlé Malaysia demonstrated continued resilience in 2023, always guided by our commitment to fulfil the diverse expectations of Malaysians an",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_4707_NESTLE_2024,NESTLE,Nestle Malaysia Berhad,2024,AR02,3,[MDA_P001],true,"[MDA_P001] Management Discussion and Analysis “Through the significant external challenges confronted in 2024, Nestlé Malaysia remained focused on consistently delivering on our mission to provide high-quality nutrition, foods and beverages",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_5008_HARISON_2021,HARISON,Harrisons Holdings (Malaysia) Berhad - 2020,2021,AR02,3,[MDA_P005],true,"[MDA_P005] As such, knowing exactly what principals expect from us improves our bottom line and strengthens our reputation in the long term. Engaging with our principals regularly enable us to understand their needs and expectations, identi",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_5008_HARISON_2022,HARISON,Harrisons Holdings (Malaysia) Berhad - 2020,2022,AR02,3,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS,weak,missing_financial_content,partial,true,manual_required,manual_required,repair_output_still_invalid,not_enough_numbers
MDA_5008_HARISON_2023,HARISON,Harrisons Holdings (Malaysia) Berhad - 2020,2023,AR02,3,[MDA_P002],true,[MDA_P002] Overview of Business Activities,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_5008_HARISON_2024,HARISON,Harrisons Holdings (Malaysia) Berhad - 2020,2024,AR02,2,[MDA_P030],true,[MDA_P030] The Trade and Distribution Segment (“T&D Segment”) comprise mainly of the Fast-Moving Consumer Products businesses in Sabah and Sarawak. Sales of Building Materials and Engineering Products are mainly in Peninsular. This segment,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_5102_GCB_2020,GCB,GCB,2020,AR02,3,[MDA_P001],true,"[MDA_P001] Management Discussion & Analysis Dear Shareholders, Despite a tumultuous year amidst the prolonged effects of the COVID19 pandemic, Guan Chong Berhad (GCB or the Group) posted commendable results for the financial year ended 31 D",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_5102_GCB_2021,GCB,GCB,2021,AR02,3,[MDA_P001],true,"[MDA_P001] Management Discussion & Analysis 6 | GUAN CHONG BERHAD Our Financial Performance Continuing our trend of steady year-on-year growth, Group-wide revenue rose by 6.5% in FY2021. However, our net profit decreased by 30.5% mainly due",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_5102_GCB_2022,GCB,GCB,2022,AR02,3,[MDA_P001],true,"[MDA_P001] Management Discussion & Analysis MARKET OVERVIEW Despite global concerns about the economic impact of the Russia-Ukraine conflict, the global demand for chocolate remained strong, as demonstrated by the increase in grinding world",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_5102_GCB_2023,GCB,GCB,2023,AR02,3,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Strategic Review Market Overview Outlook Our Value Creation Story Value Creation Business Model Key Stakeholder Engagement Material Matters Key Risks & Mitigation Actions Growth Strategies Financi,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_5102_GCB_2024,GCB,GCB,2024,AR02,3,[MDA_P001],true,"[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS MARKET OVERVIEW OUTLOOK As we navigate the strategic landscape of our operations, it is essential to gain a comprehensive understanding of the prevailing conditions in the cocoa market. This inclu",acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_5157_SG_2020,SG,Saudee Group Berhad,2020,AR02,3,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS SAUDEE GROUP BERHAD 200801036832 (838172-P),acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_5157_SG_2021,SG,Saudee Group Berhad,2021,AR02,3,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS SAUDEE GROUP BERHAD 200801036832 (838172-P),weak,missing_financial_content,partial,true,manual_required,manual_required,repair_output_still_invalid,no_numeric_issue
MDA_5157_SG_2022,SG,Saudee Group Berhad,2022,AR02,3,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Introduction The summary of the results of SAUDEE and its subsidiaries (“Group”) for the past two (2) financial years ended 31 July 2021 (“FYE 2021”) to FYE 2022 as summarised below:- FYE 2022 FYE,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_5157_SG_2022,SG,Saudee Group Berhad,2022,AR03,4,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Introduction The summary of the results of SAUDEE and its subsidiaries (“Group”) for the past two (2) financial years ended 31 July 2021 (“FYE 2021”) to FYE 2022 as summarised below:- FYE 2022 FYE,weak,missing_causal_explanation,partial,true,manual_review,,,
MDA_5157_SG_2023,SG,Saudee Group Berhad,2023,AR02,3,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Introduction The summary of the results of SAUDEE and its subsidiaries (“Group”) for the past two (2) financial years ended 31 July 2022 (“FYE 2022”) to FYE 2023 summarised below:- FYE 2023 FYE 20,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_5157_SG_2023,SG,Saudee Group Berhad,2023,AR03,4,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Introduction The summary of the results of SAUDEE and its subsidiaries (“Group”) for the past two (2) financial years ended 31 July 2022 (“FYE 2022”) to FYE 2023 summarised below:- FYE 2023 FYE 20,weak,missing_causal_explanation,partial,true,manual_review,,,
MDA_5157_SG_2024,SG,Saudee Group Berhad,2024,AR02,3,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS,weak,missing_financial_content,partial,true,manual_required,manual_required,repair_output_still_invalid,not_enough_numbers
MDA_5187_HBGLOB_2020,HBGLOB,HB Global Limited,2020,AR02,2,[MDA_P002],true,[MDA_P002] HB GLOBAL LIMITED Annual Report 2020 Financial Review Our revenue decreased by RMB59.6 million or approximately 37.8% from RMB157.5 million in financial year ended 31 December 2019 (“FYE2019”) to RMB97.9 million in financial year,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_5187_HBGLOB_2021,HBGLOB,HB Global Limited,2021,AR01,2,[MDA_P001],true,[MDA_P001] HB GLOBAL LIMITED I Annual Report 2021 MANAGEMENT DISCUSSION AND ANALYSIS Dear Valued Shareholders On behalf of the Board of Directors ´the Boardµ of HB Global Limited ´HBGLµ the Audited Financial Statements of the Company and it,weak,non_mda_noise,partial,true,manual_required,manual_required,repair_output_still_invalid,
MDA_5187_HBGLOB_2021,HBGLOB,HB Global Limited,2021,AR02,3,[MDA_P016],true,[MDA_P016] million in financial year ended December ´FYE µ to RMB million in financial year ended December,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_5187_HBGLOB_2021,HBGLOB,HB Global Limited,2021,AR05,2,[MDA_P001],true,[MDA_P001] HB GLOBAL LIMITED I Annual Report 2021 MANAGEMENT DISCUSSION AND ANALYSIS Dear Valued Shareholders On behalf of the Board of Directors ´the Boardµ of HB Global Limited ´HBGLµ the Audited Financial Statements of the Company and it,weak,non_mda_noise,partial,true,manual_required,manual_required,repair_output_still_invalid,
MDA_5187_HBGLOB_2022,HBGLOB,HB Global Limited,2022,AR02,3,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS The following MD&A of the operating performance and financial condition of the Group for the twelve (12) months ended 31 December 2022 should be read in conjunction with the Audited Financial St,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
MDA_5187_HBGLOB_2023,HBGLOB,HB Global Limited,2023,AR02,3,[MDA_P001],true,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS Overview of Business and Objectives HB Global Limited (“HBGL”) is principally an investment holding company and currently the Group has one active wholly owned subsidiary as below: 100% owned Su,acceptable,numeric_review_required,partial,true,manual_review,,,numeric_review_required
